Country,County,Equitable Share,Grants,Total,Allocation Ratio
Kenya,BARINGO,4440576026,43194300,4483770326,
Kenya,BOMET,4706893298,14950000,4721843298,
Kenya,BUNGOMA,7675726962,196750000,7872476962,
Kenya,BUSIA,5440247944,46240000,5486487944,
Kenya,ELGEYO-MARAKWET,3270440729,40979116,3311419845,
Kenya,EMBU,3837939840,113750000,3951689840,
Kenya,GARISSA,5771689408,33028268,5804717676,
Kenya,HOMA BAY,5634960034,24770000,5659730034,
Kenya,ISIOLO,3056565534,16698052,3073263586,
Kenya,KAJIADO,4412625800,89533654,4502159454,
Kenya,KAKAMEGA,8908229519,278500000,9186729519,
Kenya,KERICHO,4505064038,22600000,4527664038,
Kenya,KIAMBU,7463541789,556200000,8019741789,
Kenya,KILIFI,7441216645,82306764,7523523409,
Kenya,KIRINYAGA,3538217626,336770000,3874987626,
Kenya,KISII,7093627514,22950000,7116577514,
Kenya,KISUMU,5681265569,64580000,5745845569,
Kenya,KITUI,7267273063,83985266,7351258329,
Kenya,KWALE,5125697562,59379322,5185076884,
Kenya,LAIKIPIA,3449548893,236375096,3685923989,
Kenya,LAMU,2051883746,14772526,2066656272,
Kenya,MACHAKOS,6768653467,206700000,6975353467,
Kenya,MAKUENI,5969671381,244130000,6213801381,
Kenya,MANDERA,8955703809,28306168,8984009977,
Kenya,MARSABIT,5189461933,25436676,5214898609,
Kenya,MERU,6493602784,220590000,6714192784,
Kenya,MIGORI,5836852127,87452156,5924304283,
Kenya,MOMBASA,5197893978,22300000,5220193978,
Kenya,MURANG'A,5355997309,124810000,5480807309,
Kenya,NAIROBI,12996608958,6227800000,19224408958,
Kenya,NAKURU,8116330943,25260000,8141590943,
Kenya,NANDI,4755105868,18310000,4773415868,
Kenya,NAROK,5287901138,56027350,5343928488,
Kenya,NYAMIRA,4154538019,23920000,4178458019,
Kenya,NYANDARUA,4307070831,91860000,4398930831,
Kenya,NYERI,4449219647,182930000,4632149647,
Kenya,SAMBURU,3552281938,19659898,3571941836,
Kenya,SIAYA,4995298722,119030000,5114328722,
Kenya,TAITA TAVETA,3309568191,32052898,3341621089,
Kenya,TANA RIVER,3984569971,17771988,4002341959,
Kenya,THARAKA - NITHI,3137566667,326229808,3463796475,
Kenya,TRANS NZOIA,5099612701,11330000,5110942701,
Kenya,TURKANA,10479033426,32556700,10511590126,
Kenya,UASIN GISHU,5190879968,17320000,5208199968,
Kenya,VIHIGA,3871411960,66670000,3938081960,
Kenya,WAJIR,7232740318,36459300,7269199618,
Kenya,WEST POKOT,4313692404,27979898,4341672302,
